                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5997,                0.74981,                 1.8366,                0.90508,                0.90547,                0.91518,                 0.6917,                  2.036,                 1.2644,                 2.0812,                0.00769,                0.00769,                0.00769
                     37,                 1.5831,                0.74892,                 1.8251,                0.90369,                0.90935,                0.91982,                0.69552,                  2.023,                 1.2485,                 2.0618,               0.007624,               0.007624,               0.007624
                     38,                  1.575,                0.73751,                 1.8228,                 0.8985,                0.91791,                0.91941,                0.70007,                 2.0358,                 1.2232,                   2.08,               0.007558,               0.007558,               0.007558
                     39,                 1.5533,                 0.7307,                 1.8196,                0.89503,                0.90951,                0.91331,                0.68876,                  2.051,                 1.2614,                 2.0767,               0.007492,               0.007492,               0.007492
                     40,                 1.5304,                0.71623,                 1.8126,                0.89253,                0.91981,                 0.9198,                0.69347,                  2.027,                 1.2037,                 2.0695,               0.007426,               0.007426,               0.007426
                     41,                 1.5022,                0.70565,                  1.802,                0.90488,                0.90834,                0.92157,                0.69553,                 2.0536,                 1.2622,                 2.0922,                0.00736,                0.00736,                0.00736
                     42,                 1.4952,                0.71416,                 1.8009,                0.90592,                 0.9164,                0.92043,                0.69883,                 2.0318,                  1.187,                 2.0686,               0.007294,               0.007294,               0.007294
                     43,                 1.4771,                0.68746,                 1.7929,                0.90791,                0.91712,                0.92555,                0.69982,                 2.0445,                 1.2166,                 2.0815,               0.007228,               0.007228,               0.007228
                     44,                 1.4459,                0.67822,                 1.7897,                0.90664,                0.90875,                0.91886,                0.69188,                 2.0822,                 1.2654,                 2.1246,               0.007162,               0.007162,               0.007162
                     45,                 1.4446,                 0.6731,                 1.7845,                0.90324,                0.91063,                0.91353,                 0.6897,                 2.0757,                 1.3006,                 2.1097,               0.007096,               0.007096,               0.007096
