                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.65912,                 0.7926,                0.37911,                0.85956,                0.90761,                0.93466,                0.91965,                0.69463,                0.90911,                0.93624,                0.92037,                0.66446,                 1.1646,                 1.7033,                0.64533,                 1.0605,               0.003136,               0.003136,               0.003136
                    106,                0.65362,                0.78564,                0.37757,                0.85615,                  0.908,                0.94058,                0.92156,                0.69808,                0.90929,                0.94194,                0.92228,                0.66622,                 1.1601,                 1.7152,                0.64047,                 1.0574,                0.00307,                0.00307,                0.00307
                    107,                0.65464,                0.78213,                0.37652,                0.85806,                0.91012,                0.93975,                0.92069,                0.69685,                0.91052,                0.94021,                0.92099,                0.66612,                 1.1623,                 1.7169,                 0.6412,                 1.0599,               0.003004,               0.003004,               0.003004
                    108,                 0.6489,                0.77876,                0.37528,                0.85327,                0.90801,                0.94151,                0.92031,                0.69658,                0.90807,                 0.9416,                0.92021,                0.66417,                 1.1622,                 1.7138,                0.64409,                 1.0629,               0.002938,               0.002938,               0.002938
                    109,                 0.6438,                0.77223,                0.37346,                0.85552,                0.91488,                0.92665,                0.91543,                0.69232,                0.91599,                0.92777,                0.91611,                0.66273,                 1.1647,                 1.7446,                0.65507,                 1.0636,               0.002872,               0.002872,               0.002872
                    110,                0.64639,                0.77503,                 0.3735,                0.85574,                0.90275,                0.94161,                0.91607,                 0.6944,                0.90407,                0.94288,                  0.917,                 0.6638,                 1.1627,                 1.7321,                0.65558,                 1.0645,               0.002806,               0.002806,               0.002806
                    111,                0.64388,                0.77568,                 0.3737,                0.85481,                0.90319,                0.94093,                 0.9209,                0.69543,                0.90438,                0.94217,                 0.9217,                  0.668,                 1.1659,                 1.7397,                0.64684,                 1.0647,                0.00274,                0.00274,                0.00274
                    112,                0.63764,                0.76543,                 0.3707,                0.85343,                0.89718,                0.94732,                0.92113,                0.69735,                0.89835,                0.94856,                0.92205,                0.66759,                  1.161,                 1.7556,                0.64919,                 1.0604,               0.002674,               0.002674,               0.002674
                    113,                0.63473,                 0.7659,                0.36933,                0.85166,                0.90034,                 0.9452,                0.92206,                0.69751,                0.90101,                0.94582,                0.92248,                0.66967,                 1.1626,                 1.7478,                 0.6448,                 1.0618,               0.002608,               0.002608,               0.002608
                    114,                0.63408,                0.76754,                0.36917,                0.85326,                0.90651,                0.93809,                0.92248,                0.69803,                0.90757,                0.93923,                0.92326,                 0.6685,                 1.1628,                 1.7603,                0.64756,                 1.0623,               0.002542,               0.002542,               0.002542
                    115,                0.63011,                0.76066,                0.36655,                0.85037,                0.90666,                 0.9407,                0.92195,                0.69628,                0.90795,                0.94206,                0.92269,                0.66785,                 1.1669,                 1.7486,                0.63978,                 1.0634,               0.002476,               0.002476,               0.002476
                    116,                0.62678,                0.75423,                0.36471,                0.84729,                0.91493,                0.92309,                0.91847,                0.69635,                0.91597,                0.92423,                0.91921,                0.66543,                 1.1584,                  1.758,                 0.6498,                 1.0603,                0.00241,                0.00241,                0.00241
                    117,                0.62302,                0.75248,                0.36448,                0.85066,                0.91264,                0.92803,                0.91855,                 0.6953,                0.91391,                0.92939,                0.91992,                0.66594,                 1.1602,                 1.7723,                0.65235,                 1.0602,               0.002344,               0.002344,               0.002344
                    118,                0.62271,                0.75529,                0.36534,                0.85077,                 0.9201,                0.92102,                0.92047,                0.69701,                0.92136,                0.92238,                0.92129,                0.66588,                 1.1594,                 1.7761,                0.65186,                 1.0612,               0.002278,               0.002278,               0.002278
                    119,                0.60953,                0.73962,                0.35823,                0.84656,                0.91783,                0.92329,                0.92054,                0.69584,                0.91888,                0.92442,                0.92149,                0.66596,                 1.1631,                 1.8043,                0.65125,                 1.0641,               0.002212,               0.002212,               0.002212
                    120,                0.60992,                0.73851,                0.35846,                0.84548,                0.91083,                0.93581,                0.92433,                0.69895,                0.91211,                0.93717,                 0.9255,                0.66678,                  1.164,                 1.8041,                0.64558,                 1.0643,               0.002146,               0.002146,               0.002146
                    121,                 0.6121,                0.74103,                0.36107,                0.84753,                0.90526,                0.94163,                0.92372,                0.69878,                0.90654,                0.94299,                0.92506,                0.66762,                 1.1597,                 1.8078,                0.64273,                  1.063,                0.00208,                0.00208,                0.00208
                    122,                0.61109,                0.73806,                0.35857,                0.84536,                0.90921,                0.93461,                0.92309,                 0.6995,                0.91996,                0.92675,                0.92448,                0.66775,                 1.1595,                  1.794,                0.64171,                 1.0635,               0.002014,               0.002014,               0.002014
                    123,                  0.603,                   0.73,                0.35651,                0.84485,                0.90119,                0.94405,                0.92322,                0.70005,                0.90237,                0.94529,                0.92446,                0.66814,                 1.1609,                 1.8163,                0.64302,                 1.0647,               0.001948,               0.001948,               0.001948
                    124,                0.59985,                 0.7294,                0.35346,                0.84388,                0.91247,                0.93442,                0.92415,                0.69974,                0.91428,                0.93447,                0.92499,                0.66861,                  1.162,                 1.8226,                0.64262,                 1.0645,               0.001882,               0.001882,               0.001882
                    125,                0.60257,                 0.7287,                0.35566,                0.84548,                0.91843,                0.92383,                0.92338,                0.69922,                0.92027,                0.92514,                0.92438,                0.66817,                 1.1617,                 1.8306,                0.64531,                 1.0646,               0.001816,               0.001816,               0.001816
                    126,                0.59713,                0.72607,                0.35403,                0.84329,                0.91312,                0.92839,                0.92181,                0.69915,                0.91476,                0.92973,                0.92257,                 0.6672,                   1.16,                 1.8281,                0.65056,                 1.0626,                0.00175,                0.00175,                0.00175
                    127,                0.59564,                0.72707,                0.35394,                0.84322,                0.91509,                0.92548,                0.92245,                0.69893,                0.91645,                0.92696,                0.92314,                0.66734,                 1.1597,                 1.8318,                0.64889,                 1.0631,               0.001684,               0.001684,               0.001684
                    128,                0.59435,                0.72466,                0.35403,                0.84383,                 0.9118,                0.93093,                0.92299,                0.70044,                0.91379,                 0.9319,                 0.9238,                0.66747,                 1.1593,                 1.8332,                0.64459,                 1.0629,               0.001618,               0.001618,               0.001618
