                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.1038,                 1.2291,                0.61567,                0.98974,                0.91032,                0.93987,                0.93998,                0.71582,                0.91032,                0.93987,                   0.94,                0.68905,                 1.0916,                 1.2064,                0.60459,                 1.0076,               0.008416,               0.008416,               0.008416
                     26,                 1.0992,                 1.2202,                0.61375,                0.98909,                0.89518,                0.94177,                0.93417,                0.71036,                 0.8954,                0.94199,                0.93428,                0.68182,                 1.0942,                  1.199,                0.62491,                 1.0071,                0.00835,                0.00835,                0.00835
                     27,                  1.089,                 1.2126,                 0.6068,                0.98583,                0.91655,                0.93409,                0.94123,                0.71401,                0.91655,                0.93409,                0.94123,                0.68931,                  1.099,                 1.2156,                0.60818,                 1.0063,               0.008284,               0.008284,               0.008284
                     28,                 1.0819,                 1.2125,                 0.5985,                0.97946,                0.91853,                0.93484,                0.94678,                0.72497,                0.91853,                0.93484,                0.94678,                0.69079,                 1.0807,                 1.1976,                0.60026,                 0.9999,               0.008218,               0.008218,               0.008218
                     29,                  1.075,                 1.2066,                0.59272,                0.98196,                0.89979,                0.94682,                0.94054,                0.71568,                0.89979,                0.94682,                0.94062,                0.68529,                 1.0865,                 1.2142,                0.60492,                 1.0055,               0.008152,               0.008152,               0.008152
                     30,                 1.0618,                 1.1974,                0.58701,                 0.9731,                0.91118,                0.93563,                0.94062,                0.72164,                 0.9115,                0.93563,                0.94106,                0.68962,                 1.0799,                 1.2266,                0.59943,                0.99801,               0.008086,               0.008086,               0.008086
                     31,                 1.0617,                 1.1875,                 0.5845,                0.97467,                0.90463,                 0.9412,                0.93726,                0.71632,                0.90485,                0.94143,                0.93731,                0.68645,                 1.0841,                 1.2307,                0.60834,                 1.0043,                0.00802,                0.00802,                0.00802
                     32,                 1.0537,                 1.1809,                0.57707,                0.97339,                0.91654,                0.94489,                0.94408,                0.71797,                0.91664,                0.94501,                0.94403,                0.68946,                 1.1019,                 1.2337,                0.59211,                 1.0112,               0.007954,               0.007954,               0.007954
                     33,                 1.0438,                 1.1713,                 0.5717,                0.96887,                0.91319,                0.94109,                0.93951,                0.71897,                0.91341,                0.94131,                0.93954,                 0.6874,                 1.0911,                 1.2127,                0.60431,                 1.0112,               0.007888,               0.007888,               0.007888
                     34,                 1.0396,                 1.1606,                0.56646,                0.96552,                0.92171,                0.93712,                0.94512,                0.72144,                0.92171,                0.93712,                0.94512,                0.69381,                 1.1016,                 1.2269,                0.60425,                 1.0062,               0.007822,               0.007822,               0.007822
