                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5404,                0.72649,                 1.8161,                0.90833,                0.91519,                0.92481,                0.69863,                 2.0239,                 1.2174,                 2.0745,                0.00769,                0.00769,                0.00769
                     37,                 1.5235,                0.72702,                 1.8063,                 0.9022,                0.91702,                0.91873,                0.68938,                 2.0469,                 1.2135,                 2.1006,               0.007624,               0.007624,               0.007624
                     38,                 1.5112,                0.71598,                 1.8022,                0.90689,                0.91636,                0.92302,                0.69415,                 2.0524,                 1.1894,                  2.112,               0.007558,               0.007558,               0.007558
                     39,                 1.4889,                0.70017,                 1.7979,                0.90027,                0.90355,                0.91388,                0.68939,                 2.0514,                 1.2482,                 2.1171,               0.007492,               0.007492,               0.007492
                     40,                 1.4703,                0.68955,                 1.7922,                0.89819,                0.90871,                0.91211,                0.68733,                 2.0268,                 1.2435,                 2.1063,               0.007426,               0.007426,               0.007426
                     41,                 1.4468,                0.67566,                 1.7831,                0.91363,                0.91836,                0.92792,                0.70074,                 2.0298,                  1.166,                 2.1041,                0.00736,                0.00736,                0.00736
                     42,                 1.4388,                0.69063,                 1.7819,                0.90834,                0.92052,                0.92491,                0.69475,                 2.0535,                 1.2143,                 2.1263,               0.007294,               0.007294,               0.007294
                     43,                 1.4139,                0.66122,                 1.7737,                0.90766,                0.91421,                0.91988,                 0.6922,                 2.0494,                 1.2433,                   2.11,               0.007228,               0.007228,               0.007228
                     44,                 1.3891,                0.65595,                 1.7718,                0.90227,                0.91202,                0.91929,                0.69274,                 2.0539,                  1.248,                 2.1198,               0.007162,               0.007162,               0.007162
                     45,                 1.3874,                0.65379,                 1.7662,                0.90142,                0.92067,                0.92888,                0.70059,                 2.0419,                 1.2205,                 2.1083,               0.007096,               0.007096,               0.007096
                     46,                 1.3743,                0.63994,                 1.7629,                0.91625,                0.91512,                0.91718,                0.68739,                  2.066,                 1.2068,                 2.1269,                0.00703,                0.00703,                0.00703
                     47,                 1.3543,                0.63028,                 1.7564,                0.90091,                0.91121,                0.91193,                0.67662,                 2.1139,                 1.2753,                 2.1685,               0.006964,               0.006964,               0.006964
                     48,                 1.3309,                0.62942,                  1.749,                0.90632,                0.92425,                0.92283,                 0.6898,                 2.0864,                 1.1944,                 2.1326,               0.006898,               0.006898,               0.006898
                     49,                 1.3162,                0.61523,                 1.7449,                 0.9087,                0.91604,                0.92748,                0.69833,                  2.044,                 1.2047,                 2.1303,               0.006832,               0.006832,               0.006832
                     50,                 1.3072,                0.61182,                 1.7395,                0.90197,                0.91165,                0.91308,                0.69199,                 2.0448,                 1.2484,                 2.1205,               0.006766,               0.006766,               0.006766
                     51,                 1.2929,                0.61171,                 1.7358,                0.90756,                0.91245,                0.91867,                0.69034,                 2.0752,                 1.2664,                 2.1452,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.2767,                0.60041,                 1.7311,                0.90936,                0.90799,                0.92368,                 0.6969,                 2.0449,                 1.2138,                 2.1289,               0.006634,               0.006634,               0.006634
                     53,                 1.2592,                0.59519,                 1.7271,                0.90964,                0.91268,                0.91722,                0.69334,                 2.0407,                 1.2662,                  2.127,               0.006568,               0.006568,               0.006568
                     54,                 1.2363,                0.58092,                 1.7252,                0.91529,                0.91658,                0.92387,                0.69942,                 2.0492,                  1.223,                 2.1277,               0.006502,               0.006502,               0.006502
                     55,                 1.2373,                0.58158,                  1.723,                0.90782,                0.91846,                0.92122,                0.69582,                 2.0527,                 1.2202,                 2.1273,               0.006436,               0.006436,               0.006436
                     56,                 1.2326,                0.58378,                 1.7222,                0.90199,                0.90971,                0.91187,                0.68383,                 2.0732,                    1.3,                 2.1637,                0.00637,                0.00637,                0.00637
                     57,                 1.2186,                0.57509,                 1.7151,                0.90926,                 0.9106,                0.91839,                0.68956,                 2.0626,                 1.2974,                 2.1412,               0.006304,               0.006304,               0.006304
                     58,                 1.1889,                0.56061,                 1.7064,                0.90205,                0.91367,                0.92186,                0.69466,                 2.0694,                  1.307,                 2.1531,               0.006238,               0.006238,               0.006238
                     59,                 1.1831,                0.56072,                 1.7079,                0.91174,                0.91021,                0.92025,                0.69194,                 2.0712,                 1.2799,                 2.1476,               0.006172,               0.006172,               0.006172
                     60,                 1.1696,                0.55422,                 1.7032,                0.91026,                0.91937,                0.92187,                0.69569,                 2.0789,                 1.2537,                 2.1648,               0.006106,               0.006106,               0.006106
                     61,                 1.1662,                0.55197,                 1.7027,                0.91329,                0.91909,                0.91625,                0.69093,                 2.0837,                 1.2859,                 2.1566,                0.00604,                0.00604,                0.00604
                     62,                 1.1511,                0.54829,                 1.7012,                0.91417,                0.91892,                0.92104,                0.69287,                 2.0807,                 1.2848,                 2.1555,               0.005974,               0.005974,               0.005974
                     63,                 1.1473,                0.54388,                 1.7003,                0.91962,                0.92437,                0.92539,                0.69986,                 2.0605,                  1.249,                 2.1574,               0.005908,               0.005908,               0.005908
                     64,                 1.1321,                0.53709,                 1.6919,                0.90823,                0.92193,                0.91942,                0.69533,                 2.0703,                 1.3067,                 2.1583,               0.005842,               0.005842,               0.005842
