                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5779,                0.75191,                  1.829,                0.89253,                0.91392,                 0.9148,                0.69702,                 1.9937,                 1.1898,                 2.0567,                0.00769,                0.00769,                0.00769
                     37,                  1.563,                0.75394,                 1.8191,                 0.8846,                0.92379,                0.92675,                0.70165,                 1.9832,                 1.1365,                 2.0593,               0.007624,               0.007624,               0.007624
                     38,                 1.5409,                0.73913,                 1.8118,                0.90291,                0.90942,                0.92404,                0.70207,                 2.0036,                 1.1536,                 2.0624,               0.007558,               0.007558,               0.007558
                     39,                 1.5249,                0.72564,                 1.8087,                0.90774,                0.90919,                 0.9239,                0.70097,                 2.0035,                  1.174,                 2.0586,               0.007492,               0.007492,               0.007492
                     40,                 1.4967,                0.71333,                    1.8,                0.89902,                0.90938,                0.91712,                0.69836,                 1.9964,                 1.2257,                 2.0665,               0.007426,               0.007426,               0.007426
                     41,                 1.4726,                0.70042,                 1.7901,                0.90474,                0.91015,                0.91753,                  0.699,                 2.0008,                 1.1911,                 2.0726,                0.00736,                0.00736,                0.00736
                     42,                 1.4621,                0.71586,                 1.7905,                0.90655,                0.90321,                0.91908,                0.69892,                 2.0089,                  1.193,                 2.0706,               0.007294,               0.007294,               0.007294
                     43,                 1.4324,                0.67857,                 1.7784,                0.89338,                0.91956,                0.91943,                0.69756,                 2.0144,                 1.2254,                 2.0867,               0.007228,               0.007228,               0.007228
                     44,                 1.4052,                0.67373,                 1.7766,                0.89957,                 0.9143,                0.92119,                0.70115,                 2.0074,                 1.2391,                 2.0755,               0.007162,               0.007162,               0.007162
                     45,                 1.3972,                 0.6695,                 1.7693,                0.90144,                0.90672,                 0.9179,                0.69649,                 2.0171,                 1.2369,                 2.0842,               0.007096,               0.007096,               0.007096
                     46,                 1.3788,                0.65474,                 1.7656,                0.90549,                0.91725,                0.92191,                0.70001,                  2.013,                 1.1944,                 2.0891,                0.00703,                0.00703,                0.00703
                     47,                 1.3574,                0.64519,                 1.7585,                0.90675,                 0.9089,                0.91739,                0.69714,                 2.0428,                 1.2466,                 2.1029,               0.006964,               0.006964,               0.006964
                     48,                 1.3288,                0.63922,                 1.7473,                0.90271,                0.91029,                0.91836,                 0.7015,                 2.0141,                  1.247,                  2.083,               0.006898,               0.006898,               0.006898
                     49,                 1.3086,                0.62309,                 1.7433,                0.90585,                0.91295,                0.91729,                0.69526,                 2.0301,                 1.2605,                 2.0935,               0.006832,               0.006832,               0.006832
                     50,                 1.2954,                 0.6206,                 1.7369,                0.90328,                0.91376,                0.91882,                0.69754,                 2.0321,                 1.2549,                 2.0994,               0.006766,               0.006766,               0.006766
                     51,                 1.2787,                0.61547,                 1.7315,                0.90895,                0.91115,                0.91577,                0.69529,                 2.0417,                 1.2573,                  2.103,                 0.0067,                 0.0067,                 0.0067
                     52,                  1.256,                0.60149,                 1.7266,                0.90003,                0.90678,                0.91979,                0.69719,                 2.0248,                 1.2613,                 2.1022,               0.006634,               0.006634,               0.006634
                     53,                 1.2369,                0.59505,                 1.7217,                0.90176,                0.91352,                0.91587,                0.69552,                 2.0238,                 1.2673,                 2.1014,               0.006568,               0.006568,               0.006568
                     54,                 1.2207,                0.58512,                 1.7203,                0.90408,                 0.9034,                0.91299,                 0.6919,                 2.0281,                 1.2992,                 2.1098,               0.006502,               0.006502,               0.006502
                     55,                 1.2133,                0.58022,                 1.7168,                  0.912,                0.91233,                0.92045,                0.69891,                 2.0457,                  1.243,                 2.1033,               0.006436,               0.006436,               0.006436
                     56,                 1.2027,                0.58111,                  1.714,                0.90769,                0.91472,                0.91667,                0.69578,                 2.0412,                 1.2751,                  2.112,                0.00637,                0.00637,                0.00637
                     57,                 1.1908,                0.57221,                 1.7086,                0.90622,                0.91316,                0.91834,                0.69971,                 2.0275,                 1.3033,                 2.1023,               0.006304,               0.006304,               0.006304
                     58,                 1.1546,                0.55999,                 1.6971,                0.90873,                0.91217,                0.91313,                0.69433,                 2.0302,                 1.3011,                 2.1282,               0.006238,               0.006238,               0.006238
                     59,                 1.1522,                0.55827,                 1.7009,                0.90776,                0.92093,                0.91723,                0.69621,                 2.0476,                 1.2426,                 2.1143,               0.006172,               0.006172,               0.006172
                     60,                  1.141,                0.55497,                 1.6954,                0.90972,                0.92028,                0.91661,                0.69256,                 2.0616,                  1.287,                 2.1305,               0.006106,               0.006106,               0.006106
                     61,                 1.1264,                0.55048,                  1.694,                 0.9111,                0.91618,                0.91792,                0.69721,                  2.049,                 1.2814,                   2.12,                0.00604,                0.00604,                0.00604
                     62,                 1.1094,                0.54512,                 1.6907,                0.91255,                0.91934,                0.91628,                0.69688,                 2.0363,                 1.2629,                 2.1272,               0.005974,               0.005974,               0.005974
                     63,                 1.1062,                0.53914,                 1.6912,                0.90907,                0.91503,                 0.9155,                0.69568,                 2.0333,                 1.2567,                 2.1248,               0.005908,               0.005908,               0.005908
                     64,                   1.09,                0.53373,                 1.6814,                0.90238,                0.91284,                 0.9132,                0.69677,                 2.0363,                 1.3179,                 2.1219,               0.005842,               0.005842,               0.005842
                     65,                 1.0723,                0.52395,                 1.6795,                0.90996,                0.91456,                0.91539,                0.69985,                  2.037,                 1.3148,                 2.1322,               0.005776,               0.005776,               0.005776
                     66,                 1.0647,                0.51872,                 1.6776,                 0.9164,                0.91094,                0.92172,                0.70335,                 2.0176,                 1.2691,                 2.1188,                0.00571,                0.00571,                0.00571
                     67,                 1.0551,                0.51867,                 1.6727,                0.91336,                0.91729,                0.91538,                0.69773,                 2.0277,                 1.2764,                 2.1286,               0.005644,               0.005644,               0.005644
                     68,                 1.0354,                0.51214,                 1.6706,                0.91728,                0.91714,                0.91396,                0.69817,                  2.032,                 1.2995,                 2.1251,               0.005578,               0.005578,               0.005578
                     69,                 1.0336,                0.50942,                 1.6721,                0.91581,                 0.9124,                0.91038,                0.69698,                 2.0206,                 1.3115,                 2.1235,               0.005512,               0.005512,               0.005512
                     70,                   1.02,                0.50661,                 1.6676,                0.90145,                0.91934,                0.90934,                0.69299,                 2.0579,                 1.3579,                 2.1505,               0.005446,               0.005446,               0.005446
                     71,                 1.0147,                0.50487,                 1.6666,                0.91407,                0.92168,                0.91199,                0.69775,                 2.0244,                  1.306,                 2.1314,                0.00538,                0.00538,                0.00538
                     72,                 1.0131,                0.50588,                 1.6657,                0.90754,                0.91869,                0.91718,                0.69988,                 2.0203,                    1.3,                 2.1292,               0.005314,               0.005314,               0.005314
