                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9692,                 1.0289,                  1.962,                0.89321,                0.91414,                0.92171,                0.70835,                 1.8904,                  1.071,                 1.9892,               0.007756,               0.007756,               0.007756
                     36,                 1.9674,                 1.0225,                 1.9701,                0.89889,                0.92147,                0.92354,                0.70477,                 1.9128,                 1.0683,                 2.0188,                0.00769,                0.00769,                0.00769
                     37,                 1.9574,                 1.0255,                 1.9581,                0.89484,                0.92314,                0.93017,                0.70787,                 1.9277,                 1.0626,                 2.0112,               0.007624,               0.007624,               0.007624
                     38,                 1.9678,                 1.0187,                 1.9597,                0.88693,                0.91584,                0.92535,                0.70829,                 1.9282,                 1.0749,                  2.005,               0.007558,               0.007558,               0.007558
                     39,                 1.9576,                 1.0051,                 1.9614,                0.89212,                0.91555,                0.92475,                0.70932,                 1.9055,                  1.093,                  1.993,               0.007492,               0.007492,               0.007492
                     40,                 1.9468,                 1.0044,                  1.956,                0.88912,                0.92336,                0.92936,                0.71283,                 1.8919,                 1.0472,                 1.9907,               0.007426,               0.007426,               0.007426
                     41,                 1.9385,                0.99301,                 1.9532,                0.88742,                0.91935,                0.93195,                0.71054,                 1.9078,                 1.0662,                 2.0105,                0.00736,                0.00736,                0.00736
                     42,                 1.9257,                0.99181,                 1.9492,                0.89772,                0.91397,                0.92329,                0.70845,                 1.9178,                 1.0881,                 2.0018,               0.007294,               0.007294,               0.007294
                     43,                 1.9175,                0.97623,                 1.9453,                0.89688,                0.91773,                0.92998,                0.71396,                 1.8994,                 1.0552,                 2.0086,               0.007228,               0.007228,               0.007228
                     44,                 1.9094,                 0.9746,                 1.9511,                0.89847,                0.90767,                0.92405,                0.70571,                 1.9233,                 1.0839,                 2.0027,               0.007162,               0.007162,               0.007162
                     45,                 1.9114,                0.97529,                 1.9447,                0.89033,                0.92004,                0.92724,                0.70624,                 1.9434,                 1.0692,                 2.0322,               0.007096,               0.007096,               0.007096
                     46,                 1.9083,                0.96167,                 1.9455,                0.89742,                0.91802,                0.91929,                0.70436,                 1.9241,                 1.0661,                 2.0055,                0.00703,                0.00703,                0.00703
                     47,                 1.8986,                0.94507,                 1.9407,                0.89752,                0.92468,                 0.9343,                0.71604,                 1.9161,                 1.0374,                 2.0184,               0.006964,               0.006964,               0.006964
                     48,                 1.8835,                0.93855,                 1.9307,                0.89808,                 0.9177,                0.92726,                 0.7092,                 1.9279,                 1.0891,                 2.0185,               0.006898,               0.006898,               0.006898
                     49,                 1.8736,                0.91972,                 1.9288,                0.89412,                0.91571,                 0.9253,                0.71008,                 1.9111,                 1.0755,                 2.0025,               0.006832,               0.006832,               0.006832
                     50,                 1.8716,                0.92382,                 1.9231,                0.90765,                0.89892,                 0.9255,                0.70937,                 1.9161,                 1.0803,                 2.0011,               0.006766,               0.006766,               0.006766
