                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5077,                0.72209,                 1.8056,                0.89354,                0.90553,                0.90948,                0.68995,                 2.0239,                 1.2526,                 2.0864,                0.00769,                0.00769,                0.00769
                     37,                 1.4884,                0.71634,                 1.7929,                0.88585,                0.91078,                0.91683,                0.69218,                 2.0242,                 1.2358,                 2.0731,               0.007624,               0.007624,               0.007624
                     38,                 1.4782,                0.70354,                 1.7902,                0.88873,                0.90724,                0.92559,                0.70126,                  2.024,                 1.1804,                 2.0791,               0.007558,               0.007558,               0.007558
                     39,                  1.461,                 0.6908,                 1.7877,                0.88675,                0.90503,                0.91466,                0.69458,                 2.0202,                 1.2464,                 2.0811,               0.007492,               0.007492,               0.007492
                     40,                 1.4333,                0.67833,                 1.7786,                0.88949,                0.90747,                0.90997,                0.68851,                 2.0434,                 1.2522,                 2.0971,               0.007426,               0.007426,               0.007426
                     41,                 1.4146,                0.67212,                 1.7718,                0.89746,                0.91019,                0.91968,                0.69615,                 2.0219,                 1.2108,                 2.0878,                0.00736,                0.00736,                0.00736
                     42,                 1.4043,                0.67848,                 1.7715,                0.89397,                0.91228,                 0.9192,                0.69552,                 2.0307,                 1.2027,                 2.0923,               0.007294,               0.007294,               0.007294
                     43,                 1.3787,                 0.6497,                 1.7623,                 0.8988,                0.90143,                0.91608,                0.69193,                  2.053,                 1.2552,                 2.1093,               0.007228,               0.007228,               0.007228
                     44,                 1.3574,                0.64643,                 1.7612,                0.89101,                0.90541,                0.90732,                 0.6837,                 2.0587,                 1.2743,                 2.1263,               0.007162,               0.007162,               0.007162
                     45,                 1.3529,                0.64031,                 1.7547,                0.88024,                0.89956,                0.91137,                0.68999,                 2.0247,                  1.295,                 2.0966,               0.007096,               0.007096,               0.007096
                     46,                 1.3366,                 0.6329,                 1.7516,                0.90255,                0.90097,                 0.9205,                0.69742,                 2.0371,                 1.2382,                 2.1017,                0.00703,                0.00703,                0.00703
                     47,                  1.316,                0.62611,                 1.7449,                0.89084,                0.90729,                0.91644,                0.69109,                 2.0717,                 1.2975,                 2.1183,               0.006964,               0.006964,               0.006964
                     48,                 1.2943,                 0.6207,                 1.7366,                0.88596,                0.91195,                 0.9112,                0.68932,                 2.0379,                 1.2792,                 2.1059,               0.006898,               0.006898,               0.006898
                     49,                 1.2869,                0.60662,                  1.735,                0.89752,                0.90542,                0.90693,                0.68686,                 2.0527,                  1.272,                 2.1087,               0.006832,               0.006832,               0.006832
                     50,                  1.269,                0.60122,                 1.7279,                0.89064,                0.90272,                 0.9044,                0.68567,                 2.0497,                 1.3431,                 2.1155,               0.006766,               0.006766,               0.006766
                     51,                 1.2588,                0.60295,                 1.7248,                0.89535,                0.91137,                0.91626,                 0.6946,                 2.0503,                  1.269,                 2.1123,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.2333,                 0.5856,                 1.7192,                0.90412,                0.91448,                0.92101,                0.70042,                 2.0304,                 1.2205,                 2.1146,               0.006634,               0.006634,               0.006634
                     53,                 1.2173,                 0.5771,                 1.7151,                0.89969,                0.90856,                 0.9152,                0.69245,                 2.0543,                 1.2587,                 2.1281,               0.006568,               0.006568,               0.006568
                     54,                 1.1964,                0.56765,                 1.7127,                0.88823,                0.90786,                0.90883,                0.68898,                 2.0638,                 1.3404,                  2.136,               0.006502,               0.006502,               0.006502
                     55,                 1.1995,                0.56578,                 1.7125,                0.89419,                0.91269,                0.91382,                0.69101,                 2.0598,                 1.2718,                 2.1321,               0.006436,               0.006436,               0.006436
                     56,                 1.1901,                0.56962,                 1.7095,                0.89863,                  0.917,                0.91719,                0.69294,                 2.0603,                  1.233,                  2.141,                0.00637,                0.00637,                0.00637
                     57,                  1.183,                0.55519,                 1.7045,                0.89831,                0.90756,                0.91547,                 0.6938,                 2.0628,                 1.2978,                 2.1347,               0.006304,               0.006304,               0.006304
                     58,                 1.1525,                0.54839,                 1.6962,                0.90467,                0.90952,                0.92067,                0.69886,                 2.0433,                  1.251,                 2.1307,               0.006238,               0.006238,               0.006238
                     59,                 1.1493,                0.55152,                 1.6987,                 0.8979,                0.91297,                0.91594,                 0.6914,                 2.0602,                 1.2861,                 2.1474,               0.006172,               0.006172,               0.006172
                     60,                 1.1371,                0.54654,                  1.694,                0.90161,                 0.9167,                0.91871,                0.69694,                 2.0584,                  1.255,                 2.1477,               0.006106,               0.006106,               0.006106
                     61,                 1.1316,                0.54018,                 1.6932,                 0.9065,                0.91132,                0.91843,                0.69829,                 2.0402,                  1.272,                  2.121,                0.00604,                0.00604,                0.00604
                     62,                 1.1184,                  0.534,                 1.6916,                0.90213,                0.90659,                0.92243,                0.70017,                 2.0512,                 1.2723,                 2.1415,               0.005974,               0.005974,               0.005974
                     63,                 1.1069,                0.53024,                 1.6899,                0.90161,                0.90384,                0.91862,                 0.6959,                  2.059,                 1.2763,                 2.1479,               0.005908,               0.005908,               0.005908
                     64,                 1.0947,                0.52121,                 1.6827,                0.90059,                0.91381,                 0.9143,                0.69553,                 2.0277,                 1.2894,                 2.1305,               0.005842,               0.005842,               0.005842
                     65,                 1.0846,                0.51869,                 1.6801,                 0.8963,                0.90842,                0.90678,                0.69011,                 2.0583,                 1.3403,                 2.1495,               0.005776,               0.005776,               0.005776
                     66,                 1.0679,                0.51119,                 1.6772,                0.89679,                0.91334,                0.92025,                0.69893,                 2.0526,                  1.252,                 2.1469,                0.00571,                0.00571,                0.00571
                     67,                 1.0593,                0.50812,                 1.6728,                0.89864,                0.90723,                0.91049,                0.69265,                  2.064,                  1.332,                 2.1624,               0.005644,               0.005644,               0.005644
                     68,                 1.0529,                0.50704,                 1.6728,                0.89411,                0.90574,                 0.9171,                0.69869,                 2.0483,                 1.3125,                 2.1458,               0.005578,               0.005578,               0.005578
                     69,                 1.0449,                0.50137,                 1.6743,                0.89947,                0.90527,                0.90931,                0.69143,                   2.06,                 1.3296,                 2.1523,               0.005512,               0.005512,               0.005512
                     70,                 1.0357,                0.49379,                 1.6702,                0.90437,                0.91675,                0.92014,                0.70357,                 2.0404,                 1.2674,                 2.1418,               0.005446,               0.005446,               0.005446
                     71,                 1.0259,                0.49881,                 1.6675,                0.90607,                0.91358,                0.91972,                0.70123,                 2.0574,                 1.2746,                 2.1612,                0.00538,                0.00538,                0.00538
                     72,                  1.028,                0.49949,                 1.6684,                0.90727,                 0.9084,                0.91622,                0.69775,                   2.06,                 1.3354,                 2.1623,               0.005314,               0.005314,               0.005314
                     73,                 1.0142,                0.48671,                 1.6623,                0.90272,                0.90434,                0.91506,                 0.6965,                 2.0542,                 1.3611,                 2.1563,               0.005248,               0.005248,               0.005248
                     74,                 1.0007,                0.48011,                  1.663,                0.90189,                 0.9114,                0.91459,                 0.6977,                 2.0395,                 1.3392,                 2.1501,               0.005182,               0.005182,               0.005182
                     75,                0.99974,                0.48188,                 1.6612,                0.89877,                0.91433,                0.91309,                 0.6969,                 2.0455,                 1.3474,                 2.1595,               0.005116,               0.005116,               0.005116
                     76,                0.97744,                0.47163,                 1.6539,                0.89519,                 0.9067,                 0.9112,                0.69456,                 2.0498,                 1.3588,                 2.1623,                0.00505,                0.00505,                0.00505
                     77,                 0.9824,                 0.4732,                 1.6562,                0.89608,                0.91253,                 0.9088,                0.69307,                 2.0512,                 1.3545,                 2.1598,               0.004984,               0.004984,               0.004984
                     78,                0.98104,                0.47328,                 1.6584,                0.90179,                0.91091,                0.91391,                0.69404,                 2.0554,                 1.3141,                 2.1698,               0.004918,               0.004918,               0.004918
                     79,                0.96776,                0.46533,                 1.6556,                0.90827,                0.91184,                0.91835,                0.69793,                 2.0597,                 1.3253,                 2.1734,               0.004852,               0.004852,               0.004852
                     80,                0.95446,                0.45897,                  1.656,                0.89752,                0.90949,                 0.9121,                0.69597,                 2.0565,                 1.3646,                 2.1695,               0.004786,               0.004786,               0.004786
